District,Year,Mean_NDVI,Mining_Area_sqkm,VDF_Area,MDF_Area,OpenForest_Area,Scrub_Area,Total_Forest,GW_Level_m,GW_Imputed,NDVI_District_Mean,NDVI_Anomaly,Forest_Density_Score,Forest_Baseline_2015,Forest_Change_pct,Mining_Forest_Ratio,GW_Stress_Flag
Ajmer,2015,0.257982,421.4133,0.0,36.0,248.0,216.0,284.0,10.5,False,0.2745092,-0.016527,0.568,284.0,0.0,1.4838,0
Ajmer,2017,0.277213,40.3686,0.0,43.0,256.0,202.0,299.0,10.71,False,0.2745092,0.002704,0.5968,284.0,5.28,0.135,0
Ajmer,2019,0.233103,44.3457,0.0,43.0,262.11,204.64,305.11,7.7,False,0.2745092,-0.041406,0.5985,284.0,7.43,0.1453,0
Ajmer,2021,0.295606,39.9141,0.0,46.49,285.07,175.72,331.56,4.75,False,0.2745092,0.021097,0.6536,284.0,16.75,0.1204,0
Ajmer,2023,0.308642,42.6303,0.0,45.5,287.51,276.83,333.01,9.11,True,0.2745092,0.034133,0.5461,284.0,17.26,0.128,0
Bhilwara,2015,0.271387,591.9435,0.0,34.0,193.0,129.0,227.0,11.48,False,0.313457,-0.04207,0.6376,227.0,0.0,2.6077,0
Bhilwara,2017,0.332002,74.5911,0.0,31.0,190.0,158.0,221.0,8.88,False,0.313457,0.018545,0.5831,227.0,-2.64,0.3375,0
Bhilwara,2019,0.286373,59.8185,0.0,31.0,193.19,176.39,224.19,3.28,False,0.313457,-0.027084,0.5597,227.0,-1.24,0.2668,0
Bhilwara,2021,0.341997,60.4764,0.0,33.31,191.0,189.76,224.31,5.87,False,0.313457,0.02854,0.5417,227.0,-1.19,0.2696,0
Bhilwara,2023,0.335526,152.4609,0.0,34.55,202.42,248.66,236.97,12.14,False,0.313457,0.022069,0.488,227.0,4.39,0.6434,0
Jaipur,2015,0.275045,201.2841,13.0,113.0,517.0,412.0,643.0,30.98,False,0.27707899999999996,-0.002034,0.6095,643.0,0.0,0.313,1
Jaipur,2017,0.258619,150.5511,12.0,97.0,443.0,286.0,552.0,32.56,False,0.27707899999999996,-0.01846,0.6587,643.0,-14.15,0.2727,1
Jaipur,2019,0.258984,85.0644,12.0,97.11,443.65,285.39,552.76,32.0,False,0.27707899999999996,-0.018095,0.6595,643.0,-14.03,0.1539,1
Jaipur,2021,0.27923,438.1596,12.0,97.2,445.66,272.85,554.86,34.52,False,0.27707899999999996,0.002151,0.6704,643.0,-13.71,0.7897,1
Jaipur,2023,0.313517,274.7853,12.78,101.19,450.61,318.6,564.58,33.76,False,0.27707899999999996,0.036438,0.6393,643.0,-12.2,0.4867,1
Pali,2015,0.295654,164.6289,0.0,217.0,474.0,256.0,691.0,30.98,False,0.2825574,0.013097,0.7297,691.0,0.0,0.2382,1
Pali,2017,0.315746,100.7001,0.0,210.0,464.0,308.0,674.0,32.56,False,0.2825574,0.033189,0.6864,691.0,-2.46,0.1494,1
Pali,2019,0.237455,95.7546,0.0,209.94,464.91,323.64,674.85,32.0,False,0.2825574,-0.045102,0.6759,691.0,-2.34,0.1419,1
Pali,2021,0.27854,164.1339,0.0,211.6,489.26,357.6,700.86,34.52,False,0.2825574,-0.004017,0.6622,691.0,1.43,0.2342,1
Pali,2023,0.285392,95.0337,21.58,203.38,467.91,453.45,692.87,33.76,False,0.2825574,0.002835,0.6044,691.0,0.27,0.1372,1
Udaipur,2015,0.362418,55.2663,0.0,1420.0,1700.0,454.0,3120.0,6.71,False,0.3710118,-0.008594,0.873,3120.0,0.0,0.0177,0
Udaipur,2017,0.41624,42.5943,0.0,1212.0,1552.0,270.0,2764.0,6.38,False,0.3710118,0.045228,0.911,3120.0,-11.41,0.0154,0
Udaipur,2019,0.302646,35.0883,0.0,1213.88,1543.66,224.36,2757.54,3.95,False,0.3710118,-0.068366,0.9248,3120.0,-11.62,0.0127,0
Udaipur,2021,0.373563,31.4271,0.0,1212.93,1540.46,239.53,2753.39,6.85,False,0.3710118,0.002551,0.92,3120.0,-11.75,0.0114,0
Udaipur,2023,0.400192,27.288,61.27,1123.72,1581.31,259.62,2766.3,9.24,False,0.3710118,0.02918,0.9142,3120.0,-11.34,0.0099,0
